model_name,game_type_id,unit_size_min,unit_size_max,faction
Saurus Guard,1,5,10,Seraphon
Saurus Warriors,1,10,20,Seraphon
Skinks,1,10,20,Seraphon
Aggradon Lancers,1,3,6,Seraphon
Raptadon Chargers,1,5,10,Seraphon
Raptadon Hunters,1,5,10,Seraphon
Ripperdactyl Riders,1,2,3,Seraphon
Terradon Riders,1,2,3,Seraphon
Spawn of Chotec,1,1,1,Seraphon
Terrawings,1,3,3,Seraphon
Bastiladon witih Ark of Sotek,1,1,1,Seraphon
Bastiladon with Solar Engine,1,1,1,Seraphon
Engine of the Gods,1,1,1,Seraphon
Stegadon,1,1,1,Seraphon
Realmshaper Engine,1,1,1,Seraphon
Arch-Warlock,1,1,1,Skaven
Clawlord,1,1,1,Skaven
Clawlord on Gnaw-beast,1,1,1,Skaven
Deathmaster,1,1,1,Skaven
Grey Seer,1,1,1,Skaven
Grey Seer on Screaming Bell,1,1,1,Skaven
Lord Skreech Verminking,1,1,1,Skaven
Master Moulder,1,1,1,Skaven
Plague Priest on Plague Furnace,1,1,1,Skaven
Thanquol on Boneripper,1,1,1,Skaven
Verminlord Corruptor,1,1,1,Skaven
Verminlord Deceiver,1,1,1,Skaven
Verminlord Warbringer,1,1,1,Skaven
Verminlord Warpseer,1,1,1,Skaven
Warlock Bombardier,1,1,1,Skaven
Warlock Engineer,1,1,1,Skaven
Acolyte Globadiers,1,5,10,Skaven
Clanrats,1,20,40,Skaven
Night Runners,1,10,20,Skaven
Plague Monks,1,20,40,Skaven
Rat Ogors,1,3,6,Skaven
Ratling Gun,1,1,1,Skaven
Stormfiends,1,3,6,Skaven
Stormvermin,1,10,20,Skaven
Warpfire Thrower,1,1,1,Skaven
Warplock Jezzails,1,3,6,Skaven
Hell Pit Abomination,1,1,1,Skaven
Doom-Flayer,1,1,1,Skaven
Doomwheel,1,1,1,Skaven
Plagueclaw,1,1,1,Skaven
Ratling Warpblaster,1,1,1,Skaven
Warp Lightning Cannon,1,1,1,Skaven
Gnawhole,1,1,1,Skaven
Bell of Doom,1,1,1,Skaven
Vermintide,1,1,1,Skaven
Warp Lightning Vortex,1,1,1,Skaven
"Abraxia, Spear of the Everchosen",1,1,1,Slaves to Darkness
"Archaon, the Everchosen",1,1,1,Slaves to Darkness
"Be'lakor, the Dark Master",1,1,1,Slaves to Darkness
Centaurion Marshal,1,1,1,Slaves to Darkness
Chaos Lord,1,1,1,Slaves to Darkness
Chaos Lord on Daemonic Mount,1,1,1,Slaves to Darkness
Chaos Lord on Karkadrak,1,1,1,Slaves to Darkness
Chaos Lord on Manticore,1,1,1,Slaves to Darkness
Chaos Sorcerer Lord,1,1,1,Slaves to Darkness
Chaos Sorcerer Lord on Manticore,1,1,1,Slaves to Darkness
Chaos Warhsrine,1,1,1,Slaves to Darkness
Daemon Prince,1,1,1,Slaves to Darkness
Darkoath Chieftain,1,1,1,Slaves to Darkness
Darkoath Chieftain on Warsteed,1,1,1,Slaves to Darkness
Darkoath Warqueen,1,1,1,Slaves to Darkness
"Eternus, Blade of the First Prince",1,1,1,Slaves to Darkness
Exalted Hero of Chaos,1,1,1,Slaves to Darkness
Gaunt Summoner,1,1,1,Slaves to Darkness
Gaunt Summoner on Disc of Tzeentch,1,1,1,Slaves to Darkness
Gunnar Brand,1,1,1,Slaves to Darkness
Ogroid Myrmidon,1,1,1,Slaves to Darkness
Singri Brand,1,1,1,Slaves to Darkness
Chaos Chosen,1,5,10,Slaves to Darkness
Chaos Furies,1,6,12,Slaves to Darkness
Chaos Legionnaires,1,8,8,Slaves to Darkness
Chaos Warriors,1,10,20,Slaves to Darkness
Darkoath Marauders,1,10,20,Slaves to Darkness
Darkoath Savagers,1,10,10,Slaves to Darkness
Ogroid Theridons,1,3,6,Slaves to Darkness
The Oathsworn Kin,1,3,3,Slaves to Darkness
Chaos Knights,1,5,10,Slaves to Darkness
Darkoath Fellriders,1,5,10,Slaves to Darkness
Varanguard,1,3,6,Slaves to Darkness
Chaos Spawn,1,1,1,Slaves to Darkness
Darkoath Wilderfiend,1,1,1,Slaves to Darkness
Raptoryx,1,6,12,Slaves to Darkness
Fomoroid Crusher,1,1,1,Slaves to Darkness
Mindstealer Sphiranx,1,1,1,Slaves to Darkness
Mutalith Vortex Beast,1,1,1,Slaves to Darkness
Slaughterbrute,1,1,1,Slaves to Darkness
Soul Grinder,1,1,1,Slaves to Darkness
Chaos Chariot,1,1,1,Slaves to Darkness
Gorebeast Chariot,1,1,1,Slaves to Darkness
Nexus Chaotica,1,1,1,Slaves to Darkness
Darkfire Daemonrift,1,1,1,Slaves to Darkness
Eightfold Doom-Sigil,1,1,1,Slaves to Darkness
Realmscourge Rupture,1,1,1,Slaves to Darkness
Beast-smasher Mega-Gargant,1,1,1,Sons of Behemat
Gatebreaker Mega-Gargant,1,1,1,Sons of Behemat
King Brodd,1,1,1,Sons of Behemat
"Kragnos, the End of Empires",1,1,1,Sons of Behemat
Kraken-eater Mega-Gargant,1,1,1,Sons of Behemat
Warstomper Mega-Gargant,1,1,1,Sons of Behemat
Mancrusher Gargant,1,1,1,Sons of Behemat
Mancrusher Mob,1,3,3,Sons of Behemat
"Belladamma Volga, First of Vyrkos",1,1,1,Soulblight Gravelords
Bloodseeker Palanquin,1,1,1,Soulblight Gravelords
"Cado Ezechiar, The Hollow King",1,1,1,Soulblight Gravelords
Coven Throne,1,1,1,Soulblight Gravelords
Gorslav the Gravekeeper,1,1,1,Soulblight Gravelords
"Ivya Volga, The Outcast",1,1,1,Soulblight Gravelords
"Kritza, the Rat Prince",1,1,1,Soulblight Gravelords
"Lady Annika, the Thirsting Blade",1,1,1,Soulblight Gravelords
"Lauka Vai, Mother of Nightmares",1,1,1,Soulblight Gravelords
"Mannfred von Carstein, Mortarch of Night",1,1,1,Soulblight Gravelords
Mortis Engine,1,1,1,Soulblight Gravelords
"Nagash, Supreme Lord of the Undead",1,1,1,Soulblight Gravelords
Necromancer,1,1,1,Soulblight Gravelords
"Neferata, Mortarch of Blood",1,1,1,Soulblight Gravelords
Prince Vhordrai,1,1,1,Soulblight Gravelords
Radukar the Beast,1,1,1,Soulblight Gravelords
Radukar the Wolf,1,1,1,Soulblight Gravelords
"Sekhar, Fang of Nulahmia",1,1,1,Soulblight Gravelords
Torgillius the Chamberlain,1,1,1,Soulblight Gravelords
Vampire Lord,1,1,1,Soulblight Gravelords
Vampire Lord on Zombie Dragon,1,1,1,Soulblight Gravelords
Vengorian Lord,1,1,1,Soulblight Gravelords
Watch Captain Halgrim,1,1,1,Soulblight Gravelords
Wight King,1,1,1,Soulblight Gravelords
Wight King on Skeleton Steed,1,1,1,Soulblight Gravelords
Askurgan Trueblades,1,8,8,Soulblight Gravelords
Deadwalker Zombies,1,20,40,Soulblight Gravelords
Deathrattle Skeletons,1,10,20,Soulblight Gravelords
Grave Guard,1,10,20,Soulblight Gravelords
Kosargi Nightguard,1,2,2,Soulblight Gravelords
Vargheists,1,3,6,Soulblight Gravelords
Vyrkos Blood-born,1,3,3,Soulblight Gravelords
Black Knights,1,5,10,Soulblight Gravelords
Blood Knights,1,5,10,Soulblight Gravelords
Dire Wolves,1,10,20,Soulblight Gravelords
Fell Bats,1,3,6,Soulblight Gravelords
Vargskyr,1,1,1,Soulblight Gravelords
Terrorgheist,1,1,1,Soulblight Gravelords
Zombie Dragon,1,1,1,Soulblight Gravelords
Corpse Cart,1,1,1,Soulblight Gravelords
"Celestant-Prime, Hammer of Sigmar",1,1,1,Stormcast Eternals
Drakesworn Templar,1,1,1,Stormcast Eternals
Gardus Steel Soul,1,1,1,Stormcast Eternals
"Ionus Cryptborn, Warden of Lost Souls",1,1,1,Stormcast Eternals
Karazai the Scarred,1,1,1,Stormcast Eternals
Knight-Arcanum,1,1,1,Stormcast Eternals
Knight-Draconis,1,1,1,Stormcast Eternals
Knight-Judicator with Gryph Hounds,1,1,1,Stormcast Eternals
Knight-Questor,1,1,1,Stormcast Eternals
Knight-Relictor,1,1,1,Stormcast Eternals
Knight-Vexillor,1,1,1,Stormcast Eternals
"Krondys, Son of Dracothion",1,1,1,Stormcast Eternals
"Lorai, Child of the Abyss",1,1,1,Stormcast Eternals
Lord-Aquilor,1,1,1,Stormcast Eternals
Lord-Celestant,1,1,1,Stormcast Eternals
Lord-Celestant on Dracoth,1,1,1,Stormcast Eternals
Lord-Celestant on Stardrake,1,1,1,Stormcast Eternals
Lord-Commander Bastian Cathalos,1,1,1,Stormcast Eternals
Lord-Imperatant,1,1,1,Stormcast Eternals
Lord-Relictor,1,1,1,Stormcast Eternals
Lord-Terminos,1,1,1,Stormcast Eternals
Lord-Veritant,1,1,1,Stormcast Eternals
Lord-Vigilant on Gryph-Stalker,1,1,1,Stormcast Eternals
Neave Blacktalon,1,1,1,Stormcast Eternals
Vandus Hammerhand,1,1,1,Stormcast Eternals
"Yndrasta, the Celestial Spear",1,1,1,Stormcast Eternals
Annihilators,1,3,6,Stormcast Eternals
Annihilators with Meteoric Grandhammers,1,3,6,Stormcast Eternals
Liberators,1,5,10,Stormcast Eternals
Neave's Companions,1,3,3,Stormcast Eternals
Praetors,1,3,6,Stormcast Eternals
Prosecutors,1,3,6,Stormcast Eternals
Questor Soulsworn,1,6,6,Stormcast Eternals
Reclusians,1,3,6,Stormcast Eternals
Vanguard-Hunters,1,5,10,Stormcast Eternals
Vanguard-Raptors with Hurricane Crossbows,1,3,6,Stormcast Eternals
Vanguard-Raptors with Longstrike Crossbows,1,3,6,Stormcast Eternals
Vanquishers,1,5,10,Stormcast Eternals
Vigilors,1,5,10,Stormcast Eternals
Vindicators,1,5,10,Stormcast Eternals
Dracothian Guard Consussors,1,1,2,Stormcast Eternals
Dracothian Guard Desolators,1,1,2,Stormcast Eternals
Dracothian Guard Fulminators,1,1,2,Stormcast Eternals
Dracothian Guard Tempestors,1,1,2,Stormcast Eternals
Vanguard-Palladors with Shock Handaxes,1,3,6,Stormcast Eternals
Vanguard-Palladors with Starstrike Javelins,1,3,6,Stormcast Eternals
Aetherwings,1,3,6,Stormcast Eternals
Gryph-hounds,1,6,12,Stormcast Eternals
Stormdrake Guard,1,1,2,Stormcast Eternals
Stormstrike Chariot,1,1,1,Stormcast Eternals
Celestian Vortex,1,1,1,Stormcast Eternals
Dais Arcanum,1,1,1,Stormcast Eternals
Everblaze Comet,1,1,1,Stormcast Eternals
Alarielle the Everqueen,1,1,1,Sylvaneth
Arch-Revenant,1,1,1,Sylvaneth
"Belthanos, First Thorn of Kurnoth",1,1,1,Sylvaneth
Branchwych,1,1,1,Sylvaneth
Drycha Hamadreth,1,1,1,Sylvaneth
Spirit of Durthu,1,1,1,Sylvaneth
The Lady of Vines,1,1,1,Sylvaneth
Treelord,1,1,1,Sylvaneth
Treelord Ancient,1,1,1,Sylvaneth
Warsong Revenant,1,1,1,Sylvaneth
Dryads,1,10,20,Sylvaneth
Gossamid Archers,1,5,10,Sylvaneth
Kurnoth Hunters with Kurnoth Greatbows,1,3,6,Sylvaneth
Kurnoth Hunters with Kurnoth Greatswords,1,3,6,Sylvaneth
Kurnoth Hunters with Kurnoth Scythes,1,3,6,Sylvaneth
Spite-Revenants,1,5,10,Sylvaneth
The Twistweald,1,8,8,Sylvaneth
Tree-Revenants,1,5,10,Sylvaneth
Revenant Seekers,1,3,6,Sylvaneth
Spiterider Lancers,1,3,6,Sylvaneth
Awakened Wyldwood,1,1,1,Sylvaneth
Gladewyrm,1,1,1,Sylvaneth
Spiteswarn Hive,1,1,1,Sylvaneth
Vengeful Skullroot,1,1,1,Sylvaneth
